,Ticker_1,Ticker_2,DTW_Distance
120,728,762,6974.469999999999
121,914,1109,7008.17
122,669,914,7055.15
123,688,1088,7062.67
124,2388,2628,7072.2300000000005
125,868,960,7175.280000000001
126,992,2328,7250.669999999999
127,291,960,7370.68
128,2020,3888,7380.009999999999
129,881,2899,7451.030000000001
130,960,2007,7594.88
131,762,1088,7694.35
132,857,2328,7715.07
133,175,3800,7715.51
134,883,1088,7750.73
135,27,1928,7801.76
136,291,914,7808.860000000001
137,688,2601,7812.950000000001
138,2601,2628,7867.91
139,836,2628,7997.5199999999995
140,688,836,8219.900000000001
141,2319,2333,8352.119999999999
142,386,2328,8400.239999999998
143,881,3800,8443.7
144,960,1109,8444.65
145,291,2319,8508.310000000001
146,914,1099,8679.17
147,762,6030,8779.8
148,883,6030,8836.18
149,316,1299,9141.85
150,525,960,9546.06
151,123,883,9680.880000000001
152,123,762,9737.26
153,1211,2313,10033.05
154,836,992,10036.550000000001
155,914,2319,10129.869999999999
156,960,2380,10216.21
157,669,1928,10226.47
158,1099,1928,10354.189999999999
159,1109,2319,10480.579999999998
160,836,857,10500.95
161,728,2328,10579.990000000002
162,2328,2628,10667.599999999999
163,688,2328,10722.56
164,669,1109,10774.72
165,168,2601,10905.6
166,2388,6030,11144.15
167,386,836,11186.119999999999
168,914,1928,11299.18
169,992,1088,11339.5
170,291,1093,11354.119999999999
171,1099,1109,11362.0
172,881,3888,11559.289999999999
173,1088,2388,11783.0
174,857,1088,11803.9
175,5,6,11937.099999999999
176,291,669,12009.49
177,960,2319,12236.53
178,992,6030,12424.95
179,1093,1109,12434.170000000002
180,386,1088,12489.07
181,291,3900,12585.47
182,2333,3900,12619.359999999999
183,881,2020,12707.2
184,291,1099,12718.83
185,27,1211,12761.009999999998
186,857,6030,12889.349999999999
187,175,3888,13012.6
188,836,2388,13083.75
189,916,2333,13110.33
190,902,2333,13246.66
191,1177,3888,13281.92
192,123,2328,13342.779999999999
193,2601,6030,13361.23
194,728,836,13365.869999999999
195,175,2020,13433.57
196,386,6030,13574.52
197,1109,3900,13665.52
198,168,316,13736.2
199,291,916,13749.3
200,291,902,13834.73
201,168,2388,14003.48
202,669,2313,14141.169999999998
203,291,2333,14184.39
204,1093,2333,14208.330000000002
205,762,2628,14273.119999999999
206,1099,2313,14288.09
207,688,762,14328.08
208,883,2628,14329.5
209,688,883,14384.460000000001
210,1177,2020,14427.59
211,1088,2601,14446.68
212,868,2333,14476.49
213,291,868,14539.88
214,728,1088,14668.82
215,916,1109,14829.349999999999
216,960,2333,14870.330000000002
217,316,2601,14885.900000000001
218,902,1109,14914.78
219,291,2007,14959.48
220,1171,3888,15015.02
221,1099,2319,15063.04
222,1211,1928,15075.95
223,914,960,15141.56
224,939,3968,15285.02
225,868,1109,15619.93
226,836,2601,15749.63
227,728,6030,15754.27
228,27,669,15819.13
229,2328,2388,15869.63
230,1093,2319,15930.41
231,1928,2319,15994.849999999999
232,914,2333,16038.09
233,1109,2007,16039.53
234,1109,2333,16114.84
235,123,836,16128.66
236,1171,2020,16160.689999999999
237,2007,2333,16202.07
238,1398,3968,16208.490000000002
239,1038,1299,16238.300000000003
240,525,2333,16270.729999999998
241,241,3888,16271.939999999999
242,998,3968,16309.81
243,2331,3888,16403.75
244,669,2319,16689.22
245,316,2318,16894.7
246,291,525,16910.659999999996
247,2333,2380,16940.879999999997
248,2319,3900,17161.760000000002
249,27,914,17179.440000000002
250,168,1299,17272.149999999998
251,27,1099,17290.85
252,1099,1211,17397.239999999998
253,241,2020,17417.61
254,123,1088,17431.61
255,1299,2318,17443.75
256,316,2388,17472.28
257,27,2313,17516.26
258,981,3888,17546.78
259,2020,2331,17549.42
260,291,2380,17580.809999999998
261,1919,3888,17675.19
262,1109,1928,17733.19
263,3968,3988,17752.42
264,168,688,17862.55
265,168,2628,17915.71
266,992,2628,17918.269999999997
267,669,1211,17971.22
268,688,992,17973.23
269,525,1109,17990.71
270,1288,3968,18054.67
271,916,2319,18325.59
272,857,2628,18382.67
273,902,2319,18411.02
274,688,857,18437.63
275,123,6030,18517.059999999998
276,2328,2601,18535.51
277,1109,2380,18660.86
278,981,2020,18692.45
279,1299,2601,18758.85
280,291,1928,18813.239999999998
281,1919,2020,18820.86
282,2899,3888,19004.28
283,386,2628,19067.839999999997
284,868,2319,19116.17
285,386,688,19122.800000000003
286,914,1093,19131.08
287,669,960,19216.57
288,914,2313,19328.879999999997
289,762,2388,19475.15
290,883,2388,19531.530000000002
291,2007,2319,19535.77
292,168,2318,19590.6
293,960,1099,19806.65
294,3800,3888,19996.949999999997
295,1928,2313,20063.5
296,2020,2899,20149.949999999997
297,914,3900,20362.43
298,1,16,20700.82
299,2020,3800,21142.620000000003
